"Date","Day_of_month","Nweek","Month","Num_offices","Num_employees","shift1_trans","shift2_trans","shift1_em","shift2_em","shift_all_em","Max_check","Min_check","Mean_check","Trans_amount","Trans_sum","Trans_mean","Class1","Class2","Class3","Class1.1","Class2.1","Class3.1"
"2013-02-06",6,5,2,1,2,3,5,0,0,2,3,1,1.25,8,1035,129.375,0.875,0.125,0,"7","1","0"
"2013-02-07",7,5,2,1,2,1,3,1,1,0,3,1,1.5,4,600,150,0.75,0.25,0,"3","1","0"
"2013-02-08",8,5,2,1,2,3,1,1,0,1,3,1,1.5,4,600,150,0.75,0.25,0,"3","1","0"
"2013-02-09",9,5,2,1,1,2,1,0,0,1,1,1,1,3,300,100,1,0,0,"3","0","0"
"2013-02-10",10,5,2,1,1,3,2,0,0,1,3,1,1.4,5,700,140,0.8,0.2,0,"4","1","0"
"2013-02-11",11,6,2,1,2,5,2,0,0,2,3,1,1.28571428571429,7,900,128.571428571429,0.857142857142857,0.142857142857143,0,"6","1","0"
"2013-02-12",12,6,2,1,2,1,4,0,1,1,5,1,2.2,5,1200,240,0.6,0.2,0.2,"3","1","1"
"2013-02-13",13,6,2,1,1,1,5,0,0,1,1,1,1,6,570,95,1,0,0,"6","0","0"
"2013-02-14",14,6,2,1,2,3,1,1,0,1,2,1,1.25,4,500,125,0.75,0.25,0,"3","1","0"
"2013-02-15",15,6,2,1,3,9,3,1,0,2,4,1,1.41666666666667,12,1800,150,0.818181818181818,0.181818181818182,0,"9","2","0"
"2013-02-16",16,6,2,1,1,0,2,0,1,0,1,1,1,2,200,100,1,0,0,"2","0","0"
"2013-02-17",17,6,2,1,1,0,3,0,1,0,3,1,1.66666666666667,3,500,166.666666666667,0.666666666666667,0.333333333333333,0,"2","1","0"
"2013-02-18",18,7,2,1,2,5,5,0,0,2,3,1,1.4,10,1400,140,0.8,0.2,0,"8","2","0"
"2013-02-19",19,7,2,1,2,3,8,0,0,2,4,1,1.72727272727273,11,2100,190.909090909091,0.7,0.3,0,"7","3","0"
"2013-02-20",20,7,2,1,2,4,7,0,0,2,4,1,1.45454545454545,11,1700,154.545454545455,0.9,0.1,0,"9","1","0"
"2013-02-21",21,7,2,1,2,4,6,0,0,2,2,1,1.1,10,1100,110,0.9,0.1,0,"9","1","0"
"2013-02-22",22,7,2,1,2,5,9,0,1,1,3,1,1.42857142857143,14,2000,142.857142857143,0.785714285714286,0.214285714285714,0,"11","3","0"
"2013-02-23",23,7,2,1,1,1,5,0,0,1,3,1,1.83333333333333,6,1600,266.666666666667,0.5,0.5,0,"3","3","0"
"2013-02-24",24,7,2,1,1,0,2,0,1,0,4,1,2.5,2,535,267.5,1,0,0,"1","0","0"
"2013-02-25",25,8,2,1,2,3,3,0,0,2,3,1,1.33333333333333,6,800,133.333333333333,0.833333333333333,0.166666666666667,0,"5","1","0"
"2013-02-26",26,8,2,1,2,2,7,0,0,2,1,1,1,9,900,100,1,0,0,"9","0","0"
"2013-02-27",27,8,2,1,2,3,5,0,0,2,3,1,1.5,8,1200,150,0.625,0.375,0,"5","3","0"
"2013-02-28",28,8,2,1,2,2,8,0,0,2,2,1,1.1,10,1100,110,0.9,0.1,0,"9","1","0"
"2013-03-01",1,8,3,1,2,4,3,0,1,1,3,1,1.57142857142857,7,1100,157.142857142857,0.571428571428571,0.428571428571429,0,"4","3","0"
"2013-03-02",2,8,3,1,1,2,6,0,0,1,3,1,1.25,8,1000,125,0.875,0.125,0,"7","1","0"
